id,interests,hashtags,caption
0bd0,fashion havana shirt ,clothing mensfashion menswear printedshirt beachvibes ,"Unboxing 15 BUTTONS Shirt.

@diganshsehgal unboxing and wearing our Havana Print Shirt 🌺☘️👔
"
0bf3,grooming natural products ,houseofmakeup CleanStartWithHOM lipstick beautylooks ,When you have already switched to Clean Beauty Products 
0c04,fashion saree ,kaisori saree ethnicwear indianwear cottonsaree handblockprinted printed ,"Roheda is our new design story from the the ancient town of Bagru.

Using Syahi Begar, is a traditional printing technique from Bagru, we have created an all new range using natural dyes to celebrate the tree of the
desert - Roheda.

The style and technique of printing gets a contemporary look in our new story from Bagru.A collection using fruits and colors of Roheda tree as a design pattern and inspiration on this handcrafted range of silk cotton sarees,stoles and dupattas from Bagru.
"
0c1a,grooming shaving ,BombayShavingCompany painless womensgrooming razor shavingstereotypes womensrazor ,"Say what??? 🙋🏻‍♂️🪒🙋🏻‍♀️🪒
@shivangisachdevaa @bawakahandle
"
0c52,fitness workout ,kicaactive athleticwear athleisure activewear fitness sportswear gymwear activewearforwomen ,"A super fun way to get in a quick sweat! Dance to Sean Paul.
Try the challenge & have some funnnn 🤸🏽‍♀️🤸🏽‍♀️🤸🏽‍♀️
"
0c5d,fashion style ,Destello shirts printedshirt mensfashion casualwear menswear shirtsformen ,"There couldn’t be a better Monday Morning Motivation. Just love it @pawan.calisthenic . Thank you so much for this amazing video and you are totally rocking it 😍😍😍😍😍
"
0c6a,lipstick beauty ,houseofmakeup beauty lipstick looks ,"Which one would you pick? 💃🏻
"
4334,grooming kajal ,disguisecosmetics eyemakeup kajal eye eyelook coloredkajal ,"Now that you guys are experts, it's time to take it up a notch! Here are 3 super easy eye looks you can achieve with any shade of All Day Gel Kajal.
"
4336,grooming shaving ,bombayshavingcompany razor womensrazor painfree defenderforher ,"Our Lakshya: to help you get a smooth, irritation-free shave! 🪒
"
4338,fitness workout ,one ,"A quick little workout I did this morning 🤸🏽‍♀️

1. Side kick throughs
2. Jumping lunges
3. Core leg tucks
4. Wave unload + front kick through (keep swapping the legs

Performed each exercise for 30 - 45 seconds and the circuit 4 times over.

In my Kica punch set @kicaactive"
433a,fashion floral ,destello destelloclothing menfashion shirts printedshirts mensclothing ,"Bringing you the Spring Garden print. Perfect for the season.
"
433c,lipstick beauty ,Pawri houseofmakeup beauty lipstick looks ,Ready to 
433e,grooming  shaving ,FlexYourAwesome DefenderForHer bombayshavingcompany razor womensrazor painfree defenderforher sensitive ,The only razor that lets you 
4340,fitness grooming ,kicaactive athleticwear athleisure activewear fitness sportswear gymwear fashion activewearforwomen ,"A quick little workout I did this morning 🤸🏽‍♀️

1. Side kick throughs
2. Jumping lunges
3. Core leg tucks
4. Wave unload + front kick through (keep swapping the legs

Performed each exercise for 30 - 45 seconds and the circuit 4 times over.

In my Kica punch set @kicaactive
"
4342,fashion printed shirt ,destello destelloclothing menfashion shirts printedshirts mensclothing ,"Weekend vibe for sure. Stylist Prashant from Bangalore busting some moves on @iamcardib ‘s UP wearing Destello color book printed shirt 😍😍
"
4344,grooming lipstick ,houseofmakeup lipstick beauty makeup ,Love this super chic and classy look ft. Pout Potion Liquid Matte Lipstick- Drama Queen 
4348,grooming shaving ,flexyourawesome bombayshavingcompany razor painfree Womensrazor hairremoval ,"@nehachatlani tells us about her awesome experience with our Defender For Her Razor!
What are you waiting for?
"
47ab,fitness workout ,womensclothing sportswear gymwear activelifestyle athleisure ,"Awesome features with awesome look🔥

"
47ad,fashion men ,destello destelloclothing menfashion shirts printedshirts mensclothing pinstripes brownandwhite ,"Freshhhhh in.
"
47af,grooming lipstick ,houseofmakeup lipstick dramaqueen mattelipstick veganlipsticks ,"@chetalichadha

@chetalichadha wearing our Pout Potion Liquid Matte Lipstick - Drama Queen
"
47b1,grooming shaving ,DefenderForHer bombayshavingcompany razor womensrazor painfree defenderforher ,Sensitive skin? Defender for Her for the win! Get the 
47c2,fitness workout ,kicaactive athleticwear athleisure activewear fitness sportswear gymwear fashion activewearforwomen ,"A quick little workout I did this morning 🤸🏽‍♀️

1. Side kick throughs
2. Jumping lunges
3. Core leg tucks
4. Wave unload + front kick through (keep swapping the legs

Performed each exercise for 30 - 45 seconds and the circuit 4 times over.

In my Kica punch set @kicaactive
"
47c4,fashion striped shirt ,destello fashion stripes ootd ,"Excited to start a new week? Mondays are worth making memories.
"
47c8,grooming face wash ,bombayshavingcompany skincare facewash Coffefacewash cleanser glowingskin ,"A wash so clean, everyone will think it’s a salon facial!
🙋🏻‍♀️ @shivangisachdevaa
🙋🏻‍♂️ @bawakahandle
"
47d0,fashion checked shirt ,destello fashion checkshirt ootd ,"Have faith in the power of layering for Spring 🤩
"
47d4,grooming lipsck ,houseofmakeup nudelips nudelipstick mattelipstick liquidlipstick ,"@priyanka_jazmin shares with us her favourite nude liquid lipstick💄
.
Featuring Pout Potion shade: Low key, Brown with it.
"
480d,grooming beard care ,bombayshavingcompany beardcare beardgrowth grooming beardcarekit ,"Just like Kartik, rock your bearded look with our 6 pack beard grooming essentials kit. 🧔🏻
"
bf8c,grooming lipstick kajal ,houseofmakeup mattelipstick kajal eyeliner eyemakeup makeup ,"Super chic makeup look created by dazzlingsimran041

Products used
Double Duty Kohl Kajal In Noir
Double Duty Kohl Eyeliner In Dawntown
Pout Potion Liquid Matte Lipstick In Low Key
Pout Potion Liquid Matte Lipstick In Brown With It
"
bf95,scrunchies silk grooming ,spotstyl scrunchie scrunchies hairaccessories hairscrunchie ,"The Love and Light Silk Scrunchies
"
bfa7,skincare face care ,bombayshavingcompany skincare facecare activatedcharcoal charcoal menskincare ,"Don’t rush 👯‍♀️
👧🏻 @hitabhagwath

"
bfab,grooming lipstick ,houseofmakeup lipstick mattelipstick lowkey nudelips nudelipstick ,"@pallabiguha swatches our bestseller shade - Low Key
"
bfad,silk scrunchies ,spotstyl scrunchie scrunchies hairaccessories hairscrunchie puresilk ,"Dreaming of Vacation 🌴
"
bfaf,kit bag organising ,assembly assemblyluggage techorganiser gadgetorganiser bag unisex ,"Here's our latest addition to the catalog.
"
bfb1,grooming razor ,bombayshavingcompany womensrazor painfree precisionfacerazor facerazor painless ,"Pain tolerance level: 0
🙋🏻‍♀️ @shivangisachdevaa
"
bfb3,menstrual cup hygiene ,peesafe hygiene menstrualcup menstruation menstrualhygiene periodcup reusable zerowaste ,"Welcome to sustainable living! The future of menstrual hygiene.
"
bfb7,grooming lipstick kajal ,houseofmakeup makeup makeuplooks mattelipstick eyeliner lipstick ,"@throughmypinkwindow created this super easy looks using our the following products

Double Duty Kohl + Liner - Ms.Moneybas & Dawntown
Pout Potion Liquid Matte Lipstick - Low Key
Here To Stay Long Wear Kajal - Noir
"
bfb9,silk scrunchies ,spotstyl scrunchie scrunchies hairaccessories hairscrunchie puresilk ,"La Vien En Rose 🥀
"
bfbd,laptop bag fashion ,assembly assemblyluggage laptopbag messengerbag unisex blue ,"Marvel v/s DC.
What's your tribe?
"
c4a4,cramps roll on ,peesafe painrelief feminine cramprollon rollon ,"Roll the cramps away!
"
c6c9,grooming lipstick ,houseofmakeup mattelipstick liquidlipstick lowkey lip makeup ,"@petitepaperdolll looking pretty in our Pout Potion Liquid Matte Lipstick - Low Key!
"
c6cb,floral dress fashion ,vritta dress dresses maxidress floralembroidered womenfashion womenclothing ,"Floral Embroidered After Glow Maxi Dress by Vritta
"
c6d0,coffee beverage ,ragecoffee instantcoffee coffee caffeine flavouredcoffee originalblend ,"@journeymasteramisha
•••••
@ragecoffee_ everyyyy singleeee dayyyyy💃😍
"
c6d3,grooming shaving ,FlexYourAwesome DefenderForHer bombayshavingcompany womensrazor painfree defenderforher painless ,The only razor that lets you 
c6d9,fashion shoes ,funkfeets funkfeet sneakers shoesforwomen shoesformen quirky quirkyfashion ,"Banjari and Banjara Sneakers by Funkfeets!
"
c6db,earrings ,gonecase hoops brasshoops jewelry handcrafted earrings accessories jewellery brass ,"Spell Handcrafted Brass Hoops by Gonecase  
"
c6e6,coffee flavoured ,ragecoffee instantcoffee coffee caffeine flavouredcoffee tubeshots ,"@simran.bhosale.1
・・・
Loved these coffee flavours from @ragecoffee_ ☕️♥️ Having Rage coffee all day everyday. ☕️ Rage coffee is made from 100% Arabica beans and has less than 5 calories per serving! 😍
"
c6eb,grooming kit ,FlexYourAwesome bombayshavingcompany womensrazor painfree defenderforher painless groomingkit defenderforhergroomingkit ,"Verified
The 3-in-1 grooming kit is all you need for an effortless shaving experience. Go ahead, "
c9b0,coffee instant ,ragecoffee coffee instant beverages ,"Rage Coffee B-Roll Video
"
c9b6,shaving razor ,DefenderForHer FlexYourAwesome shaving razor bombayshavingcompany ,The best way to bust these myths? Just use the 
c9ce,grooming lipstick ,houseofmakeup liquidlipstick mattelipstick lips lowkey nudelips ,"@marjoriemofficial

The shade looks gorgeous on you!

“I’ve been loving this lip shade ever since I wore it to work a week ago.
@houseofmakeupofficial pout potion liquid lipstick in Low-Key is everything😍 It’s such a beautiful everyday pinky nude that will suit every skin-tone. For my babies with deeper complexion you can pair it with a dark lip liner.”
"
c9d0,luggage travel bag ,konMari assembly travelbag luggage cabinbag ,Declutter with 
c9d3,instant coffee rage ,KeepRaging RageCoffee instant coffee beverages ,"Ragers are here 🔥
"
c9e9,make up lipstick ,houseofmakeup makeuplook mattelipstick lips kajal crueltyfree ,"@i_archivj

Created Makeup Look using only 3 products Ft. @houseofmakeupofficial

Products used here -:
• Nail Paint in shade Caramel Buttercream - 19
• Oh my Black! Kajal
• Pout Potion Lipstick in shade Lowkey
• Good on you Lipstick in shade Wyld rose

I personally love the formula how @houseofmakeupofficial not use animal-tested products and use natural-ingredient based formulations only. They make sure that all their products are free from Harmful Chemicals and Toxins. 
"
ca0d,instant coffee ,ragecoffee instantcoffee coffee caffeine flavouredcoffee ,"@_kashishbajaj_
・・・
Raging through my workouts w @ragecoffee_ 👊🏻👅
"
ca0f,grooming lipstick ,HouseofMakeup lipstick bullet liquidlipstick ,"Isn't ""Low-Key"" just made for her?
"
cdaf,fashion dress ,kaalateeka womensfashion womenclothing womenstyle croptop printed ,"@pinkpeppercorn_sonal Pretty hill station pathways are such perfect locations for photo shoots!!😍❤️

"
cdc9,instant coffee beverage ,ragecoffee instant coffee beverage ,"@sashas_savoury_stories
・・・
Life happens but coffee helps!
May coffee kick in before reality does 🥊

Presenting you my iced latte with Irish hazelnut flavoured coffee from @ragecoffee_
Absolutely loving my coffee 😍
"
cdfc,grooming make up lipstick ,houseofmakeup liquidlipstick mattelipstick lips crueltyfree eyemakeup eyeliner ,"@sohinichanda_15 created this quick and Easy Dramatic Eye Look using our Double Duty Kohl + Liner - Ms. Moneybags & Dawntown and finished the look with our Pout Potion Liquid Matte Lipstick Brown with it!

"
ce12,fashion dresses ,GarvilibyApoorvaBhatnagar ethnic formal ,"Bringing you the perfect dress for the Oh-lovely-temps kinda day.
"
ce1b,fashion dress ,kaalateeka fashion dress ootd ,"Love it.
Live it.
Twirl it.💃
"
ce1e,instant coffee beverage ,ragecoffee instant coffee beverages ,"@gurmukh_fitness
・・・
Caffeine heaven'"" Great coffee is a Human Right""
.
.
Rage Coffee Has been voted the Most Advanced Instant Coffee Stack
🌄100% Ethiopian Arabica Beans.
☕️Infused with 6 Natural Vitamins.
👌Crystal Coffee Shots.
⚡️Turbocharge Your Day
"
ce21,fashion dress ,fabnest dress fashion apparel ,"Check out these collections from Fabnest!
"
ce23,fashion dress ,vritta dress embroidered floral maxidress ,"Floral Embroidered After Glow Maxi Dress by Vritta
"
ce25,grooming lipstick ,houseofmakeup nudelips nudelipstick mattelipstick liquidlipstick ,"@priyanka_jazmin shares with us her favourite nude liquid lipstick💄
.
Featuring Pout Potion shade: Low key, Brown with it.
"
